Keyword,Location,Position
serpapi,United States,1
serpapi,Canada,1
serpapi,France,1
serpapi,United Kingdom,1
serpapi,Germany,1
serp api,United States,1
serp api,Canada,1
serp api,France,1
serp api,United Kingdom,1
serp api,Germany,1
Google Search API,United States,2
Google Search API,Canada,2
Google Search API,France,2
Google Search API,United Kingdom,2
Google Search API,Germany,2
Google Search Results API,United States,2
Google Search Results API,Canada,2
Google Search Results API,France,2
Google Search Results API,United Kingdom,2
Google Search Results API,Germany,2
Google Organic Results API,United States,1
Google Organic Results API,Canada,1
Google Organic Results API,France,1
Google Organic Results API,United Kingdom,1
Google Organic Results API,Germany,1
google serp api,United States,1
google serp api,Canada,1
google serp api,France,1
google serp api,United Kingdom,1
google serp api,Germany,1
serps api,United States,1
serps api,Canada,1
serps api,France,1
serps api,United Kingdom,1
serps api,Germany,1
Google Search Engine API,United States,3
Google Search Engine API,Canada,3
Google Search Engine API,France,3
Google Search Engine API,United Kingdom,3
Google Search Engine API,Germany,3
"Google Local Pack API ",United States,1
"Google Local Pack API ",Canada,1
"Google Local Pack API ",France,1
"Google Local Pack API ",United Kingdom,1
"Google Local Pack API ",Germany,1
Knowledge Graph API,United States,6
Knowledge Graph API,Canada,6
Knowledge Graph API,France,6
Knowledge Graph API,United Kingdom,6
Knowledge Graph API,Germany,6
Google Results API,United States,2
Google Results API,Canada,2
Google Results API,France,2
Google Results API,United Kingdom,2
Google Results API,Germany,2
Search Results API,United States,2
Search Results API,Canada,2
Search Results API,France,2
Search Results API,United Kingdom,2
Search Results API,Germany,2
Google News Results API,United States,1
Google News Results API,Canada,1
Google News Results API,France,1
Google News Results API,United Kingdom,1
Google News Results API,Germany,1
Google News API,United States,2
Google News API,Canada,2
Google News API,France,2
Google News API,United Kingdom,2
Google News API,Germany,2
News Results API,United States,5
News Results API,Canada,3
News Results API,France,3
News Results API,United Kingdom,3
News Results API,Germany,3
Search API,United States,2
Search API,Canada,2
Search API,France,2
Search API,United Kingdom,2
Search API,Germany,2
Google Shopping Results API,United States,1
Google Shopping Results API,Canada,1
Google Shopping Results API,France,1
Google Shopping Results API,United Kingdom,1
Google Shopping Results API,Germany,1
Google Shopping API,United States,3
Google Shopping API,Canada,3
Google Shopping API,France,3
Google Shopping API,United Kingdom,3
Google Shopping API,Germany,3
Shopping Results API,United States,1
Shopping Results API,Canada,1
Shopping Results API,France,1
Shopping Results API,United Kingdom,1
Shopping Results API,Germany,1
Images Results API,United States,1
Images Results API,Canada,1
Images Results API,France,1
Images Results API,United Kingdom,1
Images Results API,Germany,1
Google Images API,United States,2
Google Images API,Canada,2
Google Images API,France,2
Google Images API,United Kingdom,2
Google Images API,Germany,2
Google Images Results API,United States,1
Google Images Results API,Canada,1
Google Images Results API,France,1
Google Images Results API,United Kingdom,1
Google Images Results API,Germany,1
Scrape Google Images,United States,6
Scrape Google Images,Canada,6
Scrape Google Images,France,7
Scrape Google Images,United Kingdom,7
Scrape Google Images,Germany,6
Scrape Images Results,United States,4
Scrape Images Results,Canada,4
Scrape Images Results,France,4
Scrape Images Results,United Kingdom,4
Scrape Images Results,Germany,5
Scrape Google Search,United States,9
Scrape Google Search,Canada,9
Scrape Google Search,France,9
Scrape Google Search,United Kingdom,9
Scrape Google Search,Germany,9
Scrape Google Results,United States,10
Scrape Google Results,Canada,10
Scrape Google Results,France,10
Scrape Google Results,United Kingdom,10
Scrape Google Results,Germany,10
google scrape api,United States,1
Google Product Results API,United States,1
Google Product Results API,Canada,1
Google Product Results API,France,1
Google Product Results API,United Kingdom,1
Google Product Results API,Germany,1
Google Product API,United States,3
Google Product API,Canada,3
Google Product API,France,3
Google Product API,United Kingdom,3
Google Product API,Germany,3
Scrape Google Product,United States,14
Scrape Google Product,Canada,14
Scrape Google Product,France,15
Scrape Google Product,United Kingdom,11
Scrape Google Product,Germany,11
Scrape Google Product Page,United States,15
Scrape Google Product Page,Canada,15
Scrape Google Product Page,France,12
Scrape Google Product Page,United Kingdom,15
Scrape Google Product Page,Germany,14
Google Product Page API,United States,3
Google Product Page API,Canada,3
Google Product Page API,France,3
Google Product Page API,United Kingdom,3
Google Product Page API,Germany,3
Google Reviews Results API,United States,4
Google Reviews Results API,Canada,4
Google Reviews Results API,France,4
Google Reviews Results API,United Kingdom,4
Google Reviews Results API,Germany,4
Google Reviews API,United States,6
Google Reviews API,Canada,6
Google Reviews API,France,6
Google Reviews API,United Kingdom,6
Google Reviews API,Germany,5
Google Product Reviews API,United States,6
Google Product Reviews API,Canada,7
Google Product Reviews API,France,7
Google Product Reviews API,United Kingdom,7
Google Product Reviews API,Germany,7
Scrape Google Reviews,United States,29
Scrape Google Reviews,Canada,29
Scrape Google Reviews,France,29
Scrape Google Reviews,United Kingdom,27
Scrape Google Reviews,Germany,29
Scrape Google Product Reviews,United States,14
Scrape Google Product Reviews,Canada,14
